City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,irati,-25.4672,-50.6511,20.41,96,61,1.05,BR,1681761344
110,kapaa,22.0752,-159.319,26.17,84,0,1.79,US,1681761345
111,zyryanka,65.75,150.85,-6.31,95,100,4.96,RU,1681761345
112,naryan-mar,67.6713,53.087,-5.62,94,98,3.63,RU,1681761345
113,hobart,-42.8794,147.3294,9.47,88,100,2.06,AU,1681761139
114,dom pedrito,-30.9828,-54.6731,21.95,43,9,2.81,BR,1681761286
115,upernavik,72.7868,-56.1549,-13.83,95,87,2.89,GL,1681761346
116,carnarvon,-24.8667,113.6333,21.6,41,49,5.92,AU,1681761346
117,hovd,48.0056,91.6419,8.3,31,0,9.25,MN,1681761346
118,nouadhibou,20.931,-17.0347,20.99,73,54,6.17,MR,1681761347
119,hilo,19.7297,-155.09,27.38,75,0,2.68,US,1681761125
120,yerbogachen,61.2767,108.0108,-19.78,99,13,0.64,RU,1681761347
121,nishihara,26.1842,127.7558,22.03,83,20,5.14,JP,1681761347
122,port augusta,-32.5,137.7667,14.87,54,0,0.05,AU,1681761318
123,caravelas,-17.7125,-39.2481,26.08,72,31,2.61,BR,1681761347
124,mizil,45.0167,26.45,9.72,67,100,5.66,RO,1681761348
125,vung tau,10.346,107.0843,27.03,85,60,3.84,VN,1681761348
126,ajdovscina,45.886,13.9095,17.37,82,75,2.43,SI,1681761242
127,vestmannaeyjar,63.4427,-20.2734,8.61,90,37,9.67,IS,1681761348
128,manokwari,-0.8667,134.0833,25.63,84,100,2.23,ID,1681761348
129,qaqortoq,60.7167,-46.0333,0.76,79,100,1.99,GL,1681761349
130,shelburne,44.0787,-80.2041,6.25,79,100,7.25,CA,1681761212
131,pereslavl-zalesskiy,56.7393,38.8563,8.84,72,100,1.39,RU,1681761350
132,meadow lake,34.8014,-106.5436,24.78,12,8,3.38,US,1681761350
133,zhangjiakou,40.81,114.8794,11.26,56,1,3.23,CN,1681761350
134,sabha,27.0377,14.4283,24.53,26,93,7.58,LY,1681761351
135,waddan,29.1614,16.139,18.9,41,0,8.33,LY,1681761351
136,saskylakh,71.9167,114.0833,-23.83,100,100,1.97,RU,1681761351
137,biak,-0.9131,122.8766,24.54,85,99,2.23,ID,1681761353
138,fortuna,40.5982,-124.1573,12.18,72,99,5.81,US,1681761354
139,rawson,-43.3002,-65.1023,14.89,35,24,7.65,AR,1681761355
140,laramie,41.3114,-105.5911,15.05,18,0,7.2,US,1681761307
141,masuda,34.6667,131.85,10.87,69,13,3.2,JP,1681761356
142,vila,42.0304,-8.1588,15.49,66,91,0.65,PT,1681761356
143,tabas,33.5959,56.9244,21.12,26,0,2.06,IR,1681761356
144,vilhena,-12.7406,-60.1458,29.12,70,75,4.63,BR,1681761162
145,severo-kurilsk,50.6789,156.125,0.62,99,100,5.72,RU,1681761357
146,cape town,-33.9258,18.4232,17.17,86,100,2.68,ZA,1681761224
147,kodiak,57.79,-152.4072,0.73,37,0,7.72,US,1681761357
148,birobidzhan,48.8,132.95,2.96,52,87,0.56,RU,1681761358
149,kavieng,-2.5744,150.7967,27.5,75,31,2.03,PG,1681761358
150,porto belo,-27.1578,-48.5531,22.97,89,71,5.7,BR,1681761358
151,houma,29.5958,-90.7195,23.89,33,0,1.79,US,1681761286
152,shakawe,-18.3667,21.85,21.42,46,67,2.74,BW,1681761358
153,bhagwantnagar,26.2333,80.75,30.91,14,2,3.6,IN,1681761358
154,mangrol,21.1167,70.1167,26.09,81,0,3.83,IN,1681761358
155,bairiki,1.3292,172.9752,27.0,83,20,1.54,KI,1681761359
156,grand gaube,-20.0064,57.6608,25.22,80,100,1.34,MU,1681761359
157,dukat,62.55,155.55,-8.01,95,100,2.63,RU,1681761359
158,villa maria,-32.4075,-63.2402,23.23,48,11,1.46,AR,1681761359
159,lavrentiya,65.5833,-171.0,-15.59,93,68,1.57,RU,1681761360
160,chuy,-33.6971,-53.4616,17.31,51,5,3.94,UY,1681761360
161,itanhem,-17.1664,-40.33,28.02,61,5,0.65,BR,1681761360
162,rio pardo de minas,-15.6097,-42.5397,27.21,52,95,1.23,BR,1681761360
163,nichinan,31.6,131.3667,11.82,76,7,2.06,JP,1681761361
164,longyearbyen,78.2186,15.6401,-6.09,79,75,15.43,SJ,1681761361
165,kaniama,-7.5667,24.1833,19.47,95,99,1.48,CD,1681761362
166,turka,49.1541,23.0297,6.55,90,100,4.29,UA,1681761363
167,imeni poliny osipenko,52.4201,136.4853,-4.21,94,85,1.56,RU,1681761363
168,oistins,13.0667,-59.5333,25.99,67,100,6.63,BB,1681761363
169,lubao,14.9167,120.55,26.84,85,14,0.99,PH,1681761364
170,aquiraz,-3.9014,-38.3911,29.05,79,68,3.56,BR,1681761364
171,puerto escondido,15.85,-97.0667,30.19,62,66,4.17,MX,1681761365
172,baruun-urt,46.6806,113.2792,-2.03,42,31,2.79,MN,1681761365
173,plettenberg bay,-34.0527,23.3716,16.65,71,0,1.08,ZA,1681761365
174,goba,7.0167,39.9833,9.75,89,32,1.87,ET,1681761365
175,halifax,44.6453,-63.5724,13.71,91,100,6.69,CA,1681761295
176,kenai,60.5544,-151.2583,2.05,55,20,2.57,US,1681761366
177,saint-georges,12.0564,-61.7485,29.82,62,20,8.23,GD,1681761349
178,yar-sale,66.8333,70.8333,-12.09,91,98,6.65,RU,1681761367
179,pedernales,18.0384,-71.744,26.41,74,88,1.91,DO,1681761368
180,camacha,33.0833,-16.3333,16.68,82,40,8.23,PT,1681761368
181,castro,-24.7911,-50.0119,18.51,98,100,1.42,BR,1681761369
182,caborca,30.5838,-111.101,29.32,7,95,6.33,MX,1681761369
183,paripiranga,-10.6875,-37.8617,27.98,49,96,5.28,BR,1681761369
184,dingle,10.9995,122.6711,25.02,87,22,2.15,PH,1681761370
185,norman wells,65.282,-126.8329,-7.98,73,100,6.69,CA,1681761371
186,nuevitas,21.5453,-77.2644,26.92,75,55,2.93,CU,1681761371
187,minbu,20.1833,94.8833,29.92,56,0,2.75,MM,1681761371
188,bhaderwah,32.9784,75.7186,15.21,48,98,1.66,IN,1681761372
189,esso,55.9333,158.7,-2.43,98,100,2.89,RU,1681761372
