City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,mount pleasant,32.7941,-79.8626,24.44,35,0,3.6,US,1681759455
114,yatou,37.15,122.3833,10.34,93,100,1.38,CN,1681759712
115,sur,22.5667,59.5289,27.03,64,83,1.62,OM,1681759713
116,castro,-24.7911,-50.0119,19.31,98,100,1.42,BR,1681759713
117,chicama,-7.8447,-79.1469,26.3,58,83,4.42,PE,1681759714
118,antalaha,-14.9003,50.2788,23.87,89,57,3.16,MG,1681759714
119,hithadhoo,-0.6,73.0833,28.76,65,18,1.06,MV,1681759242
120,cap-aux-meules,47.3821,-61.8597,4.03,75,100,6.17,CA,1681759715
121,jamestown,42.097,-79.2353,5.77,92,100,9.77,US,1681759364
122,san cristobal,7.7669,-72.225,21.1,76,95,1.01,VE,1681759715
123,busselton,-33.65,115.3333,12.88,71,0,3.9,AU,1681759715
124,omboue,-1.5746,9.2618,26.6,86,92,2.17,GA,1681759716
125,bambous virieux,-20.3428,57.7575,25.14,88,40,3.6,MU,1681759716
126,saint george,37.1041,-113.5841,26.91,19,0,2.06,US,1681759717
127,ust-kan,50.9276,84.761,-7.06,95,100,1.81,RU,1681759717
128,bathsheba,13.2167,-59.5167,26.79,63,100,6.65,BB,1681759361
129,suntar,62.1444,117.6319,-14.64,95,82,2.14,RU,1681759717
130,babadag,44.9,28.7167,8.93,71,75,1.54,RO,1681759718
131,longyearbyen,78.2186,15.6401,-5.09,86,75,13.38,SJ,1681759286
132,cherskiy,68.75,161.3,-12.7,88,66,2.29,RU,1681759725
133,olinda,-8.0089,-34.8553,28.85,65,20,4.63,BR,1681759388
134,amethi,26.15,81.8167,30.7,14,0,3.14,IN,1681759725
135,vigrestad,58.5667,5.7,9.98,79,20,4.0,NO,1681759726
136,georgetown,5.4112,100.3354,28.96,83,40,0.0,MY,1681759206
137,provideniya,64.3833,-173.3,-13.2,100,100,0.32,RU,1681759726
138,byron bay,-28.65,153.6167,17.62,68,100,5.93,AU,1681759261
139,minsk,53.9,27.5667,6.86,73,100,2.74,BY,1681759727
140,kambove,-10.8764,26.5969,15.99,97,96,1.96,CD,1681759727
141,touros,-5.1989,-35.4608,28.3,73,24,4.0,BR,1681759250
142,katherine,-14.4667,132.2667,17.18,77,57,3.6,AU,1681759728
143,coahuayana,18.7333,-103.6833,32.86,44,0,3.9,MX,1681759728
144,zig,40.127,-92.7663,16.16,29,0,8.23,US,1681759728
145,pascagoula,30.3658,-88.5561,24.03,28,0,2.73,US,1681759506
146,lamar,33.6668,-95.5836,24.94,34,0,5.14,US,1681759728
147,macklin,52.3334,-109.9348,16.19,27,2,9.08,CA,1681759729
148,seymchan,62.8833,152.4333,-11.38,96,93,1.67,RU,1681759729
149,sioux lookout,50.1001,-91.917,0.04,64,100,7.72,CA,1681759729
150,tuktoyaktuk,69.4541,-133.0374,-15.0,85,100,6.69,CA,1681759730
151,jiexiu,37.0244,111.9125,19.02,27,2,2.02,CN,1681759730
152,lima,-12.0432,-77.0282,24.14,73,100,4.12,PE,1681759001
153,andenes,69.3143,16.1194,5.99,75,75,5.66,NO,1681759730
154,opuwo,-18.0607,13.84,24.96,36,100,3.19,NA,1681759274
155,lat yao,15.751,99.7893,30.48,51,7,3.46,TH,1681759731
156,sao jose da coroa grande,-8.8978,-35.1478,27.68,77,56,3.85,BR,1681759731
157,alofi,-19.0595,-169.9187,23.94,94,100,7.2,NU,1681759351
158,labod,46.2053,17.4542,11.53,88,100,3.65,HU,1681759731
159,ahipara,-35.1667,173.1667,18.76,85,100,5.02,NZ,1681759731
160,hofn,64.2539,-15.2082,9.01,93,75,3.6,IS,1681759732
161,tasiilaq,65.6145,-37.6368,3.09,89,100,9.13,GL,1681759732
162,bredasdorp,-34.5322,20.0403,15.15,85,1,0.9,ZA,1681759339
163,kamaishi,39.2667,141.8833,6.34,74,44,2.31,JP,1681759732
164,pisco,-13.7,-76.2167,26.03,65,0,2.57,PE,1681759424
165,pundaguitan,6.3711,126.1689,27.87,76,5,4.76,PH,1681759733
166,mar del plata,-38.0023,-57.5575,18.86,61,75,3.09,AR,1681759473
167,tarko-sale,64.9225,77.785,-17.82,95,93,2.97,RU,1681759457
168,saint-leu,-21.15,55.2833,25.46,97,100,0.98,RE,1681759733
169,phangnga,8.4509,98.5298,27.02,86,100,1.07,TH,1681759733
170,matagami,49.7502,-77.6328,8.06,100,100,4.12,CA,1681759734
171,iqaluit,63.7506,-68.5145,-13.15,71,40,10.29,CA,1681759332
172,berea,41.3662,-81.8543,5.06,77,100,5.66,US,1681759734
